AGE,SEX,VIP_LEVEL,LASTDAY_BUY_DIFF,PREFER_TYPE,LOGTIME_PREFER,USE_COUPON_BEFORE,ACTIVE_LEVEL,PUSH,CASE,PROPENSITY
22,0,0,131,7,1,1,4,1,0,0.495544529070963
23,1,0,133,8,1,1,4,0,0,0.48693976786561355
27,0,3,31,4,3,0,3,1,0,0.5194541103527763
25,1,3,77,7,3,0,4,0,0,0.5184507389383617
29,0,2,124,5,2,0,4,1,0,0.5139903828951775
27,0,0,165,5,2,1,3,1,0,0.5006099666231658
23,0,0,149,4,1,0,3,0,0,0.5092717171693627
19,0,3,175,3,1,1,3,0,0,0.49726870436097953
19,0,1,74,9,1,0,1,1,0,0.49751421087864517
20,1,0,127,6,3,1,4,1,1,0.5145605260338483
17,1,2,93,9,1,1,3,0,0,0.48518938423308816
28,0,2,167,2,3,0,1,0,0,0.5191726092285405
20,1,2,14,10,3,1,4,1,1,0.5042901542728768
26,1,1,13,7,1,1,3,1,1,0.4741714999427091
17,1,3,58,5,2,0,2,0,0,0.5089548152014444
28,1,1,16,10,1,1,1,0,0,0.4618222994524464
30,1,2,117,4,1,1,4,1,1,0.4796808530445512
19,1,3,17,10,1,0,1,1,1,0.4854361062651891
21,1,0,96,10,3,1,1,1,1,0.49703950643466177
30,0,0,61,3,3,0,1,0,0,0.5133738198347428
22,0,3,49,6,2,1,3,1,0,0.49728517249610366
25,1,1,166,7,2,1,4,0,0,0.49743617118647787
21,1,2,66,5,3,0,4,0,0,0.5250636180713547
23,0,1,175,8,2,0,1,1,0,0.5097779602320741
28,0,2,101,5,1,0,1,1,0,0.49090188449615185
23,1,3,54,10,3,0,4,0,0,0.5172178182184677
25,0,0,164,8,3,1,4,1,0,0.5157093785396808
27,1,1,58,3,1,1,2,1,1,0.4744091735490638
19,0,1,1,6,2,0,4,0,0,0.5199066894789741
17,1,2,42,9,3,0,2,0,0,0.5173927060044997
17,0,1,107,1,2,0,2,1,0,0.5231224320908476
21,1,2,36,2,2,1,1,1,1,0.48750718697029827
21,1,2,2,5,2,0,2,1,1,0.5029615615194859
18,0,2,148,2,3,0,2,1,0,0.5334288735274301
29,0,3,38,3,3,0,1,1,0,0.510515295655352
23,1,3,164,8,3,0,1,1,1,0.5120039583665514
21,0,1,127,5,1,1,3,0,0,0.49322462914822357
28,0,3,112,8,2,0,4,1,0,0.5111377218516782
21,0,3,67,10,3,1,3,1,0,0.5073766140673114
30,1,0,12,2,2,1,3,1,1,0.4861430464659926
17,0,0,176,1,3,0,1,1,0,0.5346669884362347
26,0,0,176,7,2,1,3,1,0,0.5005839142129549
16,0,0,144,3,1,0,4,1,0,0.5216299041887011
22,0,1,127,5,1,0,1,0,0,0.49977922828566634
25,0,1,174,4,3,1,2,0,0,0.5106145573776106
19,1,0,60,4,1,1,4,1,1,0.49145701467041847
20,0,3,13,6,3,1,2,1,0,0.5054575128257609
23,0,3,57,3,1,0,4,0,0,0.5069559367065056
18,0,1,155,8,1,0,4,1,0,0.5148019598053496
28,0,3,128,6,2,1,1,1,0,0.48623442093419555
20,0,1,0,6,3,1,4,1,0,0.5146807633368278
23,1,0,168,9,2,1,1,0,0,0.48737344154745943
16,0,2,20,10,1,0,4,0,0,0.5084222781359105
30,0,3,77,4,1,1,2,1,0,0.4758458196124753
18,1,2,143,5,2,1,1,1,1,0.4931746289061307
29,1,3,47,5,1,0,4,1,1,0.4913841742167785
23,0,3,44,9,1,0,3,1,0,0.49754867136837005
24,1,1,159,7,3,0,3,1,1,0.5212728022143546
19,0,1,87,6,1,0,4,1,0,0.5122948768537098
21,1,1,16,7,2,1,4,0,0,0.4952555666371024
16,1,3,164,10,2,0,1,1,1,0.5067814416720532
30,0,1,97,8,1,0,4,0,0,0.4987559836902046
21,0,3,71,4,1,1,4,0,0,0.4934958442181067
29,0,3,39,9,2,1,3,0,0,0.4865289320999512
22,0,3,35,7,2,0,1,0,0,0.5035211296584826
30,0,0,107,5,1,0,4,1,0,0.5026440516298978
27,0,2,3,1,1,1,1,1,0,0.47545071365604
28,0,3,169,3,3,1,1,0,0,0.5019556584089035
19,1,0,154,7,3,0,3,1,1,0.5276345642753688
28,1,2,10,7,2,1,2,0,0,0.4783253877993325
20,1,2,151,1,3,1,2,0,0,0.5099198707317921
24,1,0,103,1,3,1,3,0,0,0.5091844541109133
29,1,2,12,5,1,0,1,0,0,0.479077327730546
22,1,2,41,7,3,1,4,1,1,0.5057023977628113
20,1,3,150,10,2,1,2,1,1,0.4900765772458058
23,0,2,156,10,3,1,4,0,0,0.5139891913571885
19,0,0,128,2,2,1,1,1,0,0.5025695634117601
21,0,2,99,9,1,0,4,0,0,0.5071420478013148
19,1,2,65,5,3,0,1,1,1,0.515532045894991
25,0,2,104,4,1,1,4,1,0,0.4914602622397294
22,1,1,124,5,3,0,2,1,1,0.5196857852824717
27,1,3,34,7,1,0,3,1,1,0.48749899556009807
22,1,0,125,2,1,0,2,0,0,0.5002946558527619
25,1,3,19,10,3,1,1,1,1,0.4861684210448267
18,1,1,93,5,1,1,4,0,0,0.4922414674398472
18,1,2,130,7,3,0,1,1,1,0.5179048957556285
18,0,2,132,3,2,1,3,1,0,0.5089091378363774
29,0,2,113,3,2,0,2,0,0,0.5073099608206879
28,0,3,49,7,2,0,3,1,0,0.5052403761352665
24,1,1,125,2,2,1,1,1,1,0.4890833560335737
23,0,0,16,7,3,1,2,0,0,0.5043642586566927
27,1,1,101,10,2,0,1,0,0,0.4936053364402931
29,0,2,127,10,2,0,1,1,0,0.4982846207906176
17,0,2,0,9,3,1,1,0,0,0.5028610381037993
23,1,3,134,10,3,0,3,1,1,0.5168600162499011
20,1,0,172,6,2,1,3,1,1,0.5012052826832954
22,1,3,9,5,2,0,1,0,0,0.4972476625551856
30,0,0,99,5,1,1,4,0,0,0.48678160812928933
21,0,0,156,1,1,0,3,1,0,0.5142820946438811
23,1,3,121,3,3,1,3,0,0,0.5065105333762979
30,0,3,45,1,1,0,4,1,0,0.5002025401348859
29,1,3,36,10,2,1,1,1,1,0.47101860480021596
18,0,0,150,10,3,0,2,0,0,0.5289572324143382
25,1,1,118,9,3,1,1,1,1,0.49336029310828333
19,1,2,102,4,3,1,3,0,0,0.5103224236899349
24,1,2,138,8,2,1,3,1,1,0.4915926376793913
27,0,0,118,1,3,1,4,0,0,0.517149310473725
18,0,0,12,8,1,1,3,0,0,0.4900086878939262
28,0,1,100,10,1,0,4,0,0,0.4994967125208404
24,1,0,115,10,3,0,1,0,0,0.5100251719828722
29,0,1,147,6,1,0,1,1,0,0.49199247026556814
30,0,2,72,2,2,0,2,0,0,0.5051832317836921
24,1,2,166,10,2,0,2,1,1,0.5027929136920718
17,1,1,90,5,1,0,1,0,0,0.4969915275455989
30,1,1,90,2,3,0,2,1,1,0.511657937982329
28,1,3,110,7,2,1,2,0,0,0.48178058864499235
25,0,1,161,5,2,0,4,0,0,0.5211039039831693
17,0,0,155,4,1,1,1,1,0,0.49293357630593143
26,1,3,63,1,3,0,3,0,0,0.5177039210461932
28,1,0,58,10,1,1,2,0,0,0.468559966905607
28,1,2,68,6,3,1,3,1,1,0.49707086202259654
26,1,0,141,8,1,0,1,0,0,0.48768885606789936
28,1,2,66,6,2,0,2,0,0,0.49713101378092794
23,0,0,161,9,3,1,3,1,0,0.5130882775843846
23,0,1,165,7,2,0,3,1,0,0.5179778122933578
21,1,1,49,3,3,1,4,0,0,0.5114412817845522
17,1,2,16,9,2,1,3,1,1,0.49320559070475306
24,0,1,82,9,2,1,4,1,0,0.49994020045067744
24,1,0,108,10,2,1,2,0,0,0.48668010844109033
23,0,3,167,6,3,0,3,0,0,0.5283343796765824
26,0,3,161,9,3,1,1,1,0,0.4989315332297899
26,0,3,87,1,2,0,2,1,0,0.5101716970839794
22,1,2,63,1,1,1,1,0,0,0.4769734391214758
16,0,2,117,2,2,0,2,0,0,0.5228847099786118
28,0,3,30,1,2,1,1,1,0,0.4859708092208937
17,0,0,128,5,1,1,1,1,0,0.4909144094308262
25,1,0,144,7,3,0,1,1,1,0.5126477200726519
26,1,0,133,9,3,1,1,0,0,0.4938913524700751
21,0,2,121,7,1,1,4,0,0,0.4942492701844125
21,1,3,154,5,1,0,2,1,1,0.49729038847277374
29,0,2,76,6,2,1,2,1,0,0.48770094059196223
29,0,0,96,10,3,0,2,0,0,0.5142359832524378
20,0,1,29,7,3,0,2,1,0,0.5228175223734542
21,1,0,180,7,3,1,3,1,1,0.5110623532739722
21,1,3,144,3,3,0,2,1,1,0.5213595963717068
28,0,0,99,8,2,0,1,1,0,0.5017729845009781
30,1,3,61,4,1,0,2,1,1,0.4838757089837988
27,1,3,16,8,1,1,1,0,0,0.46260497325329747
23,1,0,94,8,2,1,4,1,1,0.4966469574196111
22,0,3,8,1,1,1,4,1,0,0.49202850454578617
29,0,1,70,8,3,0,2,1,0,0.513731285076816
16,1,3,77,7,1,1,4,0,0,0.49016461900574776
16,1,3,53,3,1,0,4,1,1,0.5078807588977768
25,1,1,158,4,3,1,2,0,0,0.503149461045778
25,0,0,39,8,1,1,3,1,0,0.48335629533707747
25,1,2,78,5,2,1,3,1,1,0.49025884980888607
25,1,3,75,4,2,1,1,0,0,0.48213193127408227
27,0,3,160,10,3,1,3,0,0,0.5047776041000614
25,1,0,116,9,3,0,2,1,1,0.5136800071740735
17,1,0,36,4,3,0,1,0,0,0.519275048041454
19,0,1,13,7,3,0,3,1,0,0.5271337838047538
28,0,1,52,8,1,1,1,0,0,0.47177184086591234
24,1,2,106,6,2,1,4,0,0,0.4957227202932471
25,1,2,157,1,2,1,2,0,0,0.4931310186873383
29,0,2,22,9,2,1,2,1,0,0.4828468848553057
23,0,2,59,9,2,0,1,0,0,0.5028147339167836
17,0,3,60,1,3,1,4,1,0,0.5228265657006115
30,0,1,66,9,3,0,2,0,0,0.5116132701619172
25,0,0,105,8,1,0,1,0,0,0.4939632651145297
21,1,2,21,2,1,0,4,0,0,0.5026509157343598
23,1,2,101,9,3,1,3,0,0,0.5016945517549848
24,0,3,175,8,2,0,3,0,0,0.5145115054459177
29,1,3,116,5,2,0,2,0,0,0.49806438983932494
26,0,3,48,6,1,1,2,0,0,0.47740512749263186
28,0,2,3,7,3,0,4,0,0,0.5195321248826946
16,0,3,136,8,2,1,4,1,0,0.5101666113298725
16,1,3,118,6,3,0,1,1,1,0.519446501135767
27,1,2,84,9,1,1,3,0,0,0.47358370212906326
28,0,2,102,1,2,0,4,0,0,0.5174068154448838
21,1,2,4,6,1,0,3,1,1,0.49470334179790376
25,1,1,38,10,1,0,2,0,0,0.4855238688726579
29,0,2,61,3,2,1,4,0,0,0.49732030683908773
20,0,0,177,6,2,1,1,0,0,0.5003505502049924
25,1,2,130,8,1,0,4,1,1,0.49809477438530675
24,0,2,73,9,1,1,3,0,0,0.4831989905888173
27,1,1,68,5,2,1,2,1,1,0.4846431005363026
28,0,0,142,5,2,1,4,1,0,0.5023805790058156
23,0,2,152,10,3,0,3,1,0,0.5253867738536157
16,1,0,170,8,3,1,1,1,1,0.5075806053464917
21,0,1,79,1,1,1,1,1,0,0.4865362311636123
23,1,0,43,6,1,1,2,0,0,0.47675661001362607
